"rank","name","age","title","affiliation","revenue","profit","market_value","CEO","pres","chair","links"
1,"Marillyn Hewson ",64,"Chairman President and CEO","Lockheed Martin",51048,2002,97199.9,1,1,1,"http://fortune.com/most-powerful-women/marillyn-hewson-1/"
2,"Mary Barra ",56,"Chairman and CEO","General Motors",157311,-3864,49522.2,1,0,1,"http://fortune.com/most-powerful-women/mary-barra-2/"
3,"Abigail Johnson ",56,"Chairman and CEO","Fidelity Investments",NA,NA,NA,1,0,1,"http://fortune.com/most-powerful-women/abigail-johnson-3/"
4,"Ginni Rometty ",61,"Chairman President and CEO","IBM",79139,5753,135600.8,1,1,1,"http://fortune.com/most-powerful-women/ginni-rometty-4/"
5,"Gail Boudreaux ",58,"President and CEO","Anthem",90039.4,3842.8,70439.6,1,1,0,"http://fortune.com/most-powerful-women/gail-boudreaux-5/"
6,"Sheryl Sandberg ",49,"COO","Facebook",40653,15934,462821.2,0,0,0,"http://fortune.com/most-powerful-women/sheryl-sandberg-6/"
7,"Safra Catz ",56,"Co-CEO","Oracle",39831,3825,195196,1,0,0,"http://fortune.com/most-powerful-women/safra-catz-7/"
8,"Phebe Novakovic ",60,"Chairman and CEO","General Dynamics",30973,2912,60622.1,1,0,1,"http://fortune.com/most-powerful-women/phebe-novakovic-8/"
9,"Ruth Porat ",60,"SVP and CFO","Google Alphabet",110855,12662,809871.7,0,0,0,"http://fortune.com/most-powerful-women/ruth-porat-9/"
10,"Susan Wojcicki ",50,"CEO","YouTube Google Alphabet",110855,12662,809871.7,1,0,0,"http://fortune.com/most-powerful-women/susan-wojcicki-10/"
11,"Lynn Good ",59,"Chairman President and CEO","Duke Energy",23189,3059,58356.1,1,1,1,"http://fortune.com/most-powerful-women/lynn-good-11/"
12,"Angela Ahrendts ",58,"SVP of Retail and Online Stores","Apple",229234,48351,1054083.9,0,0,0,"http://fortune.com/most-powerful-women/angela-ahrendts-12/"
13,"Tricia Griffith ",53,"President and CEO","Progressive",26839,1592.2,40630.4,1,1,0,"http://fortune.com/most-powerful-women/tricia-griffith-13/"
14,"Judith Mckenna ",52,"President and CEO","Walmart International",500343,9862,279489.1,1,1,0,"http://fortune.com/most-powerful-women/judith-mckenna-14/"
15,"Karen Lynch ",55,"President","Aetna",60535,1904,67199.4,0,1,0,"http://fortune.com/most-powerful-women/karen-lynch-15/"
16,"Ann Marie Campbell ",53,"EVP U.S. Stores","Home Depot",100904,8630,241436,0,0,0,"http://fortune.com/most-powerful-women/ann-marie-campbell-16/"
17,"Pam Nicholson ",58,"President and CEO","Enterprise Holdings",NA,NA,NA,1,1,0,"http://fortune.com/most-powerful-women/pam-nicholson-17/"
18,"Cathy Engelbert ",53,"CEO","Deloitte",NA,NA,NA,1,0,0,"http://fortune.com/most-powerful-women/cathy-engelbert-18/"
19,"Marianne Lake ",49,"CFO","JPMorgan Chase",113899,24441,384095,0,0,0,"http://fortune.com/most-powerful-women/marianne-lake-19/"
20,"Amy Hood ",46,"EVP and CFO","Microsoft",110360,16571,868118.9,0,0,0,"http://fortune.com/most-powerful-women/amy-hood-20/"
21,"Michelle Gass ",50,"CEO","Kohl's",19095,859,13270.3,1,0,0,"http://fortune.com/most-powerful-women/michelle-gass-21/"
22,"Kathy Warden ",47,"President and COO","Northrop Grumman",25803,2015,55306.8,0,1,0,"http://fortune.com/most-powerful-women/kathy-warden-22/"
23,"Leanne Caret ",51,"President and CEO Defense Space & Security and EVP","Boeing",93392,8197,208879.8,1,1,0,"http://fortune.com/most-powerful-women/leanne-caret-23/"
24,"Geisha Williams ",57,"President and CEO","PG&E",17135,1646,24409.5,1,1,0,"http://fortune.com/most-powerful-women/geisha-williams-24/"
25,"Margaret Keane ",59,"President and CEO","Synchrony",16695,1935,24427.8,1,1,0,"http://fortune.com/most-powerful-women/margaret-keane-25/"
26,"Mary Callahan Erdoes ",51,"CEO","JPM Asset and Wealth Management JPMorgan Chase",113899,24441,384095,1,0,0,"http://fortune.com/most-powerful-women/mary-callahan-erdoes-26/"
27,"Barbara Rentler ",61,"CEO","Ross Stores",14134.7,1362.8,36194.1,1,0,0,"http://fortune.com/most-powerful-women/barbara-rentler-27/"
28,"Vicki Hollub ",58,"President and CEO","Occidental Petroleum",13274,1311,60321.2,1,1,0,"http://fortune.com/most-powerful-women/vicki-hollub-28/"
29,"Heather Bresch ",49,"CEO","Mylan",11907.7,696,19493.6,1,0,0,"http://fortune.com/most-powerful-women/heather-bresch-29/"
30,"Beth Ford ",54,"President and CEO","Land O’Lakes",13740.4,314.2,NA,1,1,0,"http://fortune.com/most-powerful-women/beth-ford-30/"
31,"Lisa Davis ",54,"CEO Siemens Energy","Siemens AG",91584.7,6667.4,106073.6,1,0,0,"http://fortune.com/most-powerful-women/lisa-davis-31/"
32,"Julie Sweet ",50,"CEO North America","Accenture",36765.5,3445.1,110471.4,1,0,0,"http://fortune.com/most-powerful-women/julie-sweet-32/"
33,"Roz Brewer ",56,"COO and Group President","Starbucks",22386.8,2884.7,74294.9,0,1,0,"http://fortune.com/most-powerful-women/roz-brewer-33/"
34,"Kathleen Murphy ",55,"President Personal Investing","Fidelity Investments",NA,NA,NA,0,1,0,"http://fortune.com/most-powerful-women/kathleen-murphy-34/"
35,"Mary Mack ",55,"Senior EVP of Consumer Banking","Wells Fargo",97741,22183,262479.5,0,0,0,"http://fortune.com/most-powerful-women/mary-mack-35/"
36,"Anna Manning ",60,"President and CEO","Reinsurance Group of America",12515.8,1822.2,9163.3,1,1,0,"http://fortune.com/most-powerful-women/anna-manning-36/"
37,"Jennifertaubert ",55,"EVP Worldwide Chairman Pharmaceuticals","Johnson & Johnson",76450,1300,377034.5,0,0,1,"http://fortune.com/most-powerful-women/jennifertaubert-37/"
38,"Lynne Doughtie ",55,"Chairman and CEO","KPMG U.S.",NA,NA,NA,1,0,1,"http://fortune.com/most-powerful-women/lynne-doughtie-38/"
39,"Bridget Van Kralingen ",55,"SVP Blockchain Industry Platforms Accounts and Partnerships","IBM",79139,5753,135600.8,0,0,0,"http://fortune.com/most-powerful-women/bridget-van-kralingen-39/"
40,"Kellygrier ",49,"U.S. Chairman and Americas Managing Partner","EY",NA,NA,NA,0,0,1,"http://fortune.com/most-powerful-women/kellygrier-40/"
41,"Crystal Hanlon ",53,"President Northern Division","Home Depot",100904,8630,241436,0,1,0,"http://fortune.com/most-powerful-women/crystal-hanlon-41/"
42,"Michele Buck ",57,"President and CEO","Hershey",7515.4,783,21651.3,1,1,0,"http://fortune.com/most-powerful-women/michele-buck-42/"
43,"Jennifer Morgan ",47,"President Americas and Asia Pacific Japan","SAP",26445.6,4529.2,143533.3,0,1,0,"http://fortune.com/most-powerful-women/jennifer-morgan-43/"
44,"Carolyn Tastad ",57,"Group President North America","Procter & Gamble",66832,9750,209089.4,0,1,0,"http://fortune.com/most-powerful-women/carolyn-tastad-44/"
45,"Mary Dillon ",57,"CEO","Ulta Beauty",5884.5,555.2,16907.3,1,0,0,"http://fortune.com/most-powerful-women/mary-dillon-45/"
46,"Helena Foulkes ",54,"CEO","Hudson’s Bay Company",11567.3,-468.4,1473.8,1,0,0,"http://fortune.com/most-powerful-women/helena-foulkes-46/"
47,"Deanna Mulligan ",55,"President and CEO","Guardian Life Insurance",12454.5,455.3,NA,1,1,0,"http://fortune.com/most-powerful-women/deanna-mulligan-47/"
48,"Bonnie Hammer ",68,"Chairman","NBCUniversal Cable Entertainment and Cable Studio Comcast",84526,22714,172922.2,0,0,1,"http://fortune.com/most-powerful-women/bonnie-hammer-48/"
49,"Anne Finucane ",66,"Vice Chairman; Chairman","BofA Merrill Lynch Intl. Bank of America",100264,18232,301745,0,0,1,"http://fortune.com/most-powerful-women/anne-finucane-49/"
50,"Kathryn Marinello ",62,"President and CEO","Hertz Global Holdings",8803,327,1599.4,1,1,0,"http://fortune.com/most-powerful-women/kathryn-marinello-50/"
51,"Oprah Winfrey ",64,"Chairman and CEO","OWN",NA,NA,NA,1,0,1,"http://fortune.com/most-powerful-women/oprah-winfrey-51/"
